p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
Gm42418	1.45920072873644e-24	2.19043711729736	1	1	4.7110295527256e-20	0_0	Gm42418
Six3	2.86567634919419e-22	4.60575970624181	0.519	0.043	9.25183609337344e-18	0_0	Six3
Otx2	7.94114515425745e-18	3.36367384672696	0.558	0.091	2.56379871305202e-13	0_0	Otx2
Fezf1	3.01124339412341e-17	6.31477292768655	0.269	0	9.72179929792742e-13	0_0	Fezf1
Lars2	8.15470188307767e-16	1.4476600614495	0.981	0.984	2.63274550295163e-11	0_0	Lars2
Six3os1	9.65296028855064e-16	4.25280852954993	0.404	0.039	3.11645822915857e-11	0_0	Six3os1
Hoxb2	1.07563055429821e-15	-2.22169957492693	0.231	0.854	3.47267324455177e-11	0_0	Hoxb2
Lhx2	4.15707669314554e-15	4.28613541919753	0.577	0.15	1.34211221038204e-10	0_0	Lhx2
Nr2e1	5.62665253959421e-15	4.92696385354901	0.308	0.016	1.81656477240799e-10	0_0	Nr2e1
Malat1	1.36323976255659e-13	1.17549521923945	1	0.98	4.40121957341394e-09	0_0	Malat1
Foxf1.1	1.95454069033977e-28	3.86410572703236	0.911	0.184	6.31023461876193e-24	3_0	Foxf1
Hlx.1	5.97717640362458e-28	4.20737631736758	0.8	0.123	1.92973140191019e-23	3_0	Hlx
Fendrr	4.63139628136714e-26	3.88109004836845	0.756	0.103	1.49524628943938e-21	3_0	Fendrr
Pyy	1.85273291690956e-25	5.8314452927227	0.644	0.065	5.98154822224252e-21	3_0	Pyy
Gcg	3.11967258177147e-22	6.16386925833864	0.489	0.031	1.00718629302492e-17	3_0	Gcg
Nepn	5.57157791003055e-22	6.63595690763268	0.578	0.065	1.79878392825336e-17	3_0	Nepn
Krt18.1	9.01823713799638e-22	2.82152011627104	1	0.502	2.91153786000213e-17	3_0	Krt18
Dsg2	9.20375254081353e-21	2.95301681203709	0.667	0.096	2.97143150780165e-16	3_0	Dsg2
Krt8.1	3.4770536950353e-20	2.94941075838463	0.978	0.506	1.12256678544215e-15	3_0	Krt8
Osr1.1	8.18343168109763e-20	3.13261516716608	0.8	0.184	2.64202091824237e-15	3_0	Osr1
